,website,ip,address,location
85,南报网,njdaily.cn,218.94.82.88,江苏省南京市秦淮区 /白下区电信
86,中国国际航空公司,airchina.com,null,null
87,江苏银行官方网站,www.jsbchina.cn,111.48.171.70,湖北省 移动
88,赛诚智慧,www.sc-edu.com,180.96.7.9,江苏省南京市 电信
89,中国药科大学,www.cpu.edu.cn,121.32.243.81,广东省广州市 珠江宽频
90,保险网购新一站,xyz.cn,58.217.193.15,江苏省南京市雨花台区 电信
91,快递网,kuaidi.com,139.196.1.163,上海市 阿里云BGP数据中心
92,国家公务员网,gjgwy.net,120.27.139.215,浙江省杭州市 阿里巴巴网络有限公司BGP数据中心(BGP)
93,江苏省工商行政管理局,jsgsj.gov.cn,218.94.38.242,江苏省南京市 电信
94,好猎头网,www.haolietou.com,218.90.198.58,江苏省泰州市 电信
95,南京林业大学,www.njfu.edu.cn,121.248.150.233,江苏省南京市 南京林业大学
96,中国商务网,xunbiz.com,61.129.47.21,上海市 外高桥电信IDC机房
97,南京中医药大学,njutcm.edu.cn,null,null
98,江苏省财政厅,jscz.gov.cn,218.94.38.179,江苏省南京市 电信
99,视客眼镜网,vsigo.cn,61.155.7.46,江苏省南京市 电信IDC机房
100,南京银行,njcb.com.cn,58.240.77.165,江苏省南京市 联通
101,润和软件,hoperun.com,180.76.193.102,北京市 北京百度网讯科技有限公司BGP节点
102,华泰证券官网,htsc.com.cn,61.132.51.131,江苏省南京市 电信
103,江苏省科技厅,jstd.gov.cn,null,null
104,江苏省道路客运综合信息服务网,jslw.gov.cn,58.213.132.29,江苏省南京市 电信
105,江苏省住房和城乡建设厅,jscin.gov.cn,58.213.147.235,江苏省南京市 电信
106,钢宝股份,www.gangbao365.com,58.213.134.167,江苏省南京市 电信
107,WPYOU,wpyou.com,115.28.166.217,山东省青岛市 阿里巴巴网络有限公司BGP数据中心
108,英语学习频道,unsv.com,222.186.46.177,江苏省镇江市 电信
109,南京招生信息网,njzb.net,null,null
110,紫枫信贷,zfxindai.cn,119.28.184.170,香港 腾讯云
111,中共江苏省委组织部,jszzb.gov.cn,218.94.0.131,江苏省南京市 电信
112,南京证券,njzq.com.cn,153.3.253.131,江苏省南京市 联通
113,江苏教师教育网,jste.net.cn,58.213.155.181,江苏省南京市 电信
114,南京教育,njedu.gov.cn,null,null
115,南京康贝佳口腔,kangbeijia.com,null,null
116,U号租,www.uhaozu.com,203.107.33.212,中国 阿里云Anycast节点
117,沃游网,woyoo.com,222.186.63.164,江苏省镇江市 电信
118,网游网,5617.com,180.96.21.245,江苏省南京市 电信
119,天翼飞YOUNG,f-young.cn,null,null
120,南京禄口国际机场,njiairport.com,221.226.37.210,江苏省南京市 电信
121,中国数据,www.com.top,61.184.215.243,湖北省襄阳市 电信
122,南京审计学院,nau.edu.cn,210.28.92.25,江苏省南京市 南京审计学院
123,江苏省卫生和计划生育委员会,jswst.gov.cn,null,null
124,AEPS电力系统自动化,aeps-info.com,118.186.245.94,北京市 网联光通
125,江苏省统计局,jssb.gov.cn,null,null
126,南京市人力资源和社会保障网,njhrss.gov.cn,null,null
127,学习方法网,xuexifangfa.com,174.139.196.14,美国 加利福尼亚州圣安娜Krypt机房
128,故事大全,dy456.com,null,null
129,微奇生活,vikilife.com,154.92.56.249,香港 特别行政区
130,博群E书吧,ebk8.com,156.239.141.147,美国 加利福尼亚州洛杉矶Cloudinnovation数据中心
131,一号家居网,yihaojiaju.com,47.111.204.174,浙江省杭州市 阿里云
132,外语爱好者,ryedu.net,103.90.137.19,香港特别行政区
133,南京住房公积金管理中心网上服务大厅,njgjj.com,null,null
134,南京军区南京总医院,njzy666.com,null,null
135,苏交科,www.jsti.com,58.213.190.105,江苏省南京市鼓楼区 电信
136,江苏招生考试,js-edu.cn,222.186.63.151,江苏省镇江市 电信
137,金陵科技学院,jit.edu.cn,null,null
138,南京工商局,njgs.gov.cn,null,null
139,江苏省地方税务局,jsds.gov.cn,221.226.40.85,江苏省南京市江宁区 电信
140,江苏省南京地方税务局,nj.jsds.gov.cn,null,null
141,南京公安,njga.gov.cn,null,null
142,果酱音乐,www.jammyfm.com,39.107.196.48,北京市 阿里云
143,江苏省通信管理局,www.jsca.gov.cn,null,null
144,一号家居商城,yhjj.com,223.6.249.34,浙江省杭州市 阿里巴巴网络有限公司
145,金陵中学,jlhs.net,null,null
146,南京大学考研网,nandakaoyan.com,47.75.17.238,香港 阿里云
147,江苏省高校招生就业指导服务中心,91job.gov.cn,null,null
148,都市圈圈,dsqq.cn,116.62.147.22,浙江省杭州市 阿里云
149,南京工业大学浦江学院,njpji.cn,222.190.135.23,江苏省 电信
150,视威科技,swit.cc,47.91.131.21,香港 阿里云
151,AO史密斯,aosmith.com.cn,221.6.8.107,江苏省南京市 联通
152,德基广场,dejiplaza.com,218.94.71.198,江苏省南京市 电信
153,365知识网,zhishi365.com,182.61.162.219,广东省广州市  百度BGP节点
154,长安马自达官网,changan-mazda.com.cn,null,null
155,南京网络电视台,nbs.cn,221.226.117.141,江苏省南京市 电信
156,江苏省广播电视总台集团,jsbc.com,null,null
157,中国国际展览中心集团公司,ciec-expo.com,218.247.143.106,北京市 鹏博士长城宽带
158,中国化工制造网,chemmade.com,202.102.90.71,江苏省南京市 电信
159,小鱼儿网,xiaoyuer.com,180.97.15.66,江苏省苏州市 电信
160,交管12123查询网,12123.com,47.100.2.180,上海市 阿里云
161,江苏法院网,jsfy.gov.cn,null,null
162,南京工业职业技术学院,niit.edu.cn,222.190.105.84,江苏省南京市 电信
163,南京报业网,njnews.cn,null,null
164,南京人才网,025.wlzp.vip,218.92.28.67,江苏省连云港市 电信
165,化石网,uua.cn,123.206.28.223,天津市 腾讯云
166,好好学习网,hhxx.com.cn,null,null
167,南京艺术学院,njarti.edu.cn,210.28.48.8,江苏省南京市 南京艺术学院
168,南京市政府采购网,njgp.gov.cn,null,null
169, WFilter（超级嗅探狗）官网,imfirewall.com,120.55.165.132,浙江省杭州市 阿里云BGP数据中心
170,OLO我乐厨柜官网,olokitchen.com,203.107.42.43,中国  
171,轩轩特卖官网,xuanxuantemai.com,120.26.127.148,浙江省杭州市 阿里巴巴网络有限公司BGP数据中心(BGP)
172,南京师范大学考研网,nanshikaoyan.com,47.75.17.238,香港 阿里云
173,南京市国家税务局,jsnj-n-tax.gov.cn,null,null
174,南京交管在线,njjg.gov.cn,null,null
175,南京奥体中心官网,njaoti.com,218.94.50.179,江苏省南京市 电信
176,金智教育,wisedu.com,null,null
177,365易贷,365edai.cn,129.226.59.105,香港 腾讯云
178,江苏国信舜天足球俱乐部,jssaintyfc.com,104.27.131.80,美国 CloudFlare公司CDN节点
179,中舞网,dance365.com,47.97.224.100,浙江省杭州市 阿里云
180,财客在线记账网,caakee.com,121.46.231.201,上海市徐汇区 电信
181,卫岗天天订,4008618618.com,null,null
182,点米科技,www.dianmi365.com,183.60.44.10,广东省中山市 电信
183,南京理工大学泰州科技学院,nustti.edu.cn,null,null
184,应用之星,www.appstar.com.cn,139.196.207.10,上海市 阿里云BGP数据中心
185,江苏国土资源,www.jsmlr.gov.cn,null,null
186,云创数据,cstor.cn,101.37.84.116,浙江省杭州市 阿里云
187,雨润集团,yurun.com,221.226.148.141,江苏省南京市 电信
188,生活南京,livnj.com,121.41.19.237,浙江省杭州市 阿里云
189,江苏公安,jsga.gov.cn,null,null
190,中国啦啦操官方网站,ccachina.org,47.88.242.69,新加坡 阿里云
191,中国长发网,chinalonghair.cn,45.112.206.70,香港  
192,中国人民解放军理工大学,ust.com.cn,222.186.175.6,江苏省镇江市 电信
193,苏宁环球集团,suning.com.cn,221.226.103.82,江苏省南京市 电信
194,南京市妇幼保健院,njfybjy.com,null,null
195,江苏政府采购网,www.ccgp-jiangsu.gov.cn,218.94.38.180,江苏省南京市 电信
196,江苏省纪律检查委员会,www.jssjw.gov.cn,218.94.104.188,江苏省南京市 电信
197,江苏省水利厅,jswater.gov.cn,null,null
198,一问百答,yiwenbaida.com,182.61.160.102,广东省广州市  百度BGP节点
199,暖通吧,hvac8.com,103.38.252.229,双云信息科技(上海)有限公司电信机房
200,WorkWin局域网监控管理软件,vipshare.com,203.107.42.43,中国  
201,叮当,dingdone.com,203.107.43.165,中国  
202,动漫东东,comicdd.com,121.40.42.27,浙江省杭州市 阿里云
203,江苏省文化厅,www.jscnt.gov.cn,null,null
204,南京市人事考试网,njrsks.net,null,null
205,凤凰教育网,fhedu.cn,180.97.46.16,江苏省苏州市 电信
206,中华人民共和国江苏海事局,js-msa.gov.cn,null,null
207,东南大学考研网,dongdakaoyan.com,47.75.17.238,香港 阿里云
208,苏宁置业,suningestate.com,103.255.95.235,江苏省南京市 联通数据中心
209,江苏省发展和改革委员会,www.jsdpc.gov.cn,null,null
210,宏图三胞,cnpcmall.com,118.89.103.227,上海市 腾讯云
211,江苏省物价局,www.jswjj.gov.cn,61.132.73.133,江苏省南京市 电信
212,南京教育信息网,njenet.net.cn,23.224.161.147,美国 加利福尼亚州洛杉矶市Coperation Coloction数据中心
213,南京外国语学校仙林分校,nflsxl.com,218.94.31.4,江苏省南京市 电信
214,金鹰国际集团,netge.com,222.190.116.173,江苏省南京市 电信
215,纳加软件,www.nagasoft.cn,121.40.94.135,浙江省杭州市 阿里云
216,南京国际展览中心,njiec.com,null,null
217,中国雕塑网,diaosu.cn,null,null
218,高淳招聘网,gcjob.gov.cn,null,null
219,三江学院网站,sju.js.cn,null,null
220,12580和生活,12580.com,183.207.110.83,江苏省 移动
221,VICTOR（威克多）官网,victorsport.com.cn,null,null
222,中国招投标网,infobidding.com,null,null
223,国广联,www.gloriamedia.com,122.14.208.166,中国 中移铁通
224,南京市口腔医院,njkq.net,222.73.219.188,上海市 电信IDC机房(张东)
225,南京博物院,njmuseum.com,61.155.236.36,江苏省南京市 电信
226,靖江论坛,jjbbs.com,180.97.219.104,江苏省镇江市 电信IDC数据中心
227,南京地铁,www.njmetro.com.cn,222.190.251.163,江苏省泰州市 电信
228,联创科技,lianchuang.com,221.226.111.9,江苏省南京市 电信
229,南京晓庄学院,njxzc.edu.cn,210.29.144.1,江苏省南京市 南京晓庄学院
230,南京城市职业学院,www.ncc.edu.cn,58.213.152.101,江苏省南京市 电信
231,雪儿漫画,xemh.com,47.75.132.95,香港 阿里云
232,江苏体育局,www.jssports.gov.cn,null,null
233,开鑫贷,gkkxd.com,47.110.173.79,浙江省杭州市 阿里云
234,黑帽网,cnblackhat.com,59.56.79.49,福建省福州市 电信
235,新小说吧,xxs8.com,106.75.5.7,北京市 UCloud
236,南京六合,njlh.gov.cn,null,null
237,南京师范大学泰州学院,nnutc.edu.cn,58.222.225.248,江苏省泰州市 电信
238,ICP备案查询网,beianchaxun.net,103.230.139.118,亚太地区  
239,中国物联网,www.netofthings.cn,118.178.192.91,浙江省杭州市 阿里云计算有限公司
240,5A中国农业人才网,5ajob.com,112.125.123.28,北京市 北京万网志成科技有限公司
241,中国酒水招商网,js118.com.cn,122.51.149.58,广东省广州市 广州海钛信息技术有限公司
242,南京康辉旅行社,kanghui.cn,203.107.43.165,中国  
243,中国水处理设备网,watere.cn,null,null
244,南京玄武区政府门户网站,xwzf.gov.cn,222.190.243.114,江苏省泰州市 电信
245,江宁教育信息网,jnedu.net.cn,null,null
246,江苏质监信息网,jsqts.gov.cn,null,null
247,江苏新闻周刊网,025ct.com,112.124.29.242,浙江省杭州市 阿里云BGP数据中心
248,南京市中医院,njszyy.cn,222.73.219.197,上海市 电信IDC机房(张东)
249,江宁人才网,jnrc.gov.cn,null,null
250,南京人才网,025zp.com,null,null
251,说明书之家,mydigi.net,null,null
252,江苏安全生产网,www.jssafety.gov.cn,null,null
253,壹进制,unary.com.cn,58.216.47.130,江苏省常州市 电信
254,中国纸业网,chinapaper.net,47.100.48.1,上海市 阿里云
255,奇法大陆,78land.com,180.97.220.250,江苏省镇江市 电信IDC数据中心
