地标经度,地标纬度,对应的LR的半径,LRBG,SLG
118.777612,32.127388,3.24,2.9997,7.1851
118.799123,32.002668,1.85,0.197,4.5954
118.796029,32.022138,1.68,1.1921,2.6515
118.820083,32.049852,1.29,0.9883,0.4963
118.713982,32.159378,4.62,2.1983,12.0185
118.806944,32.016062,1.85,1.7204,3.3826
118.6825175,32.10759776,5.01,2.5663,10.5749
118.736528,32.22833137,4.27,1.3853,17.6877
118.7670199,32.06913425,1.06,0.6457,1.5512
118.847604,31.931851,4.51,0.3575,12.5954
118.8066,32.0268,1.44,0.0806,2.3547
118.810078,31.985962,1.92,1.8226,6.3849
118.800929,32.010655,1.85,1.0104,3.8082
118.743138,32.071454,8.34,7.2475,3.5231
118.7413511,32.13633068,3.64,1.3062,8.7309
118.74077,32.229266,4.27,1.0688,17.693
118.8744244,32.00046807,10.24,4.5722,7.6697
118.743023,32.04416,3.43,0.9492,3.3585
118.732675,32.06988165,1.23,1.0268,4.4291
118.731942,32.028046,9.58,11.4109,5.0783
118.7783143,32.06248612,2.02,0.4699,0.7824
118.782488,31.986731,1.9,2.1654,6.3712
118.767271,32.069499,1.13,0.6562,1.5713
118.903593,31.925024,6.39,4.8341,15.3623
118.779406,32.0632,2.02,0.5134,0.8992
118.800436,32.02623323,1.68,0.6866,2.2533
118.7372467,32.13315833,4.36,1.4677,8.6085
118.8274885,31.96614904,10.24,2.1934,8.7667
118.756599,32.060946,1.55,0.9114,1.8778
118.865915,32.150821,4.66,5.1616,7.9775
118.74614,31.946591,5.87,7.2233,11.2663
118.7681,32.0028,8.06,14.4217,5.3199
118.746798,32.23216,4.27,0.6747,17.8736
118.731166,32.083274,4.13,4.5829,5.1501
118.803494,32.093904,2.19,3.0258,4.2553
118.919398,32.05496,10.32,11.5968,3.0707
118.827482,32.140081,4.37,1.2372,8.5573
118.794407,32.010347,4.62,14.7767,3.8394
118.589422,31.853586,9.04,1.6532,27.4045
118.79491,32.072325,1.66,2.3149,2.3888
118.780748,32.093663,1.6,1.7541,3.8556
118.86313,31.775782,8.54,1.6928,28.0554
118.820092,32.073108,3.38,1.441,1.8299
118.733346,32.054356,7.14,1.1136,4.1273
118.829036,31.83093,8.23,5.4228,21.9914
118.9566681,32.12751812,7.56,4.885,7.5013
118.746805,32.064673,1.88,2.4865,2.9238
118.720649,32.141193,2.95,2.215,10.1177
118.87374,32.139048,4.77,5.6224,6.5826
118.726794,31.960539,6.05,7.0196,10.6405
118.873273,32.095805,3.38,5.8372,3.1618
118.750943,32.244454,2.89,0.7513,19.033
118.83206,31.849516,8.36,7.178,20.2027
118.818514,32.019114,9.58,15.2467,3.5741
118.730986,32.204778,2.89,3.7414,15.5423
118.803525,32.047253,1.18,1.0908,0.5979
118.747407,32.151343,8.49,2.1268,9.953
118.802407,31.799035,4.38,11.12,24.9609
118.553357,31.80018,8.55,7.2523,33.7917
118.700955,32.152923,3.15,0.1572,12.2047
118.6706148,31.83996139,8.98,6.7631,23.9401
118.7929227,32.00028695,8.49,15.5529,4.8549
118.6462583,31.90721862,4.71,2.7467,19.6185
118.839872,31.835473,8.54,5.8229,21.7259
118.818445,32.125543,4.32,0.7643,7.0757
118.8123276,32.01876951,1.68,0.9138,3.3224
118.7526452,32.08925616,1.98,1.5111,4.0184
118.777626,31.918047,3.8,0.9428,13.2087
118.803686,32.098194,2.18,2.815,4.6456
118.630143,32.046135,8.57,1.2728,14.4767
118.823473,32.084399,1.97,1.0989,2.9759
118.832295,32.130853,2.24,2.0207,7.6983
118.6917023,31.87498017,8.95,8.9106,19.8735
118.8006025,32.03024708,1.68,0.7724,1.8581
118.8036054,32.01417338,1.85,1.4175,3.4929
118.8233072,31.95251157,10.25,2.7623,9.9442
118.4716272,31.87802732,0.41,0.2945,35.1176
118.776593,32.098945,2.18,0.488,4.3391
118.853995,32.024794,2.48,0.3483,4.5126
118.803672,31.87684635,4,3.0088,17.1857
118.8388988,31.84013809,8.87,6.3048,21.2494
118.576465,31.832655,9.04,3.4356,29.8265
118.7825983,32.02164872,1.44,0.4066,3.0894
118.648058,32.119743,4.93,5.9231,14.187
118.833059,31.765631,8.87,1.8298,28.517
118.686134,32.19378,3.78,3.2963,16.4073
118.803105,32.011275,1.85,1.1273,3.7714
118.805464,32.09567,2.95,1.3386,4.347
118.78782,32.028106,8.34,12.9105,2.2751
118.8353612,31.83556873,8.79,5.909,21.6335
118.828109,31.949577,10.24,2.4598,10.3587
118.8259,32.020027,1.43,2.0733,3.5231
118.822775,31.929064,3.82,2.2885,12.2138
118.8185699,32.02087304,1.68,1.2599,3.3981
118.59545,31.81745,8.52,3.4156,29.801
118.857331,31.776429,8.26,1.5246,27.8627
118.762552,31.992046,4.36,1.0204,6.4686
118.783168,32.112315,2.18,1.1066,5.7359
118.896662,32.086627,2.34,0.929,0.8619
118.601823,32.028125,8.62,3.5727,17.4948
118.924503,32.087438,7.61,5.8332,2.6236
118.747957,31.947396,4.36,3.9835,11.1436
118.753391,32.243415,2.89,0.7256,18.9009
118.898953,31.903708,5.87,5.4338,17.0347
118.780417,32.056587,1.66,0.3115,0.59
118.6284844,32.14006359,13.9,13.9689,16.8772
118.884726,31.935854,1.44,12.0168,13.5282
118.726697,32.005805,2.59,0.4598,6.9096
118.804767,31.878339,4.42,4.7587,17.0408
118.79458,32.061628,3.32,4.3382,1.3396
118.788765,31.994808,4.88,4.4166,5.4529
118.775839,32.076458,1.93,1.111,2.0895
118.863174,31.948761,5.05,0.5617,11.4388
118.804992,32.03114,1.44,0.4157,1.8922
118.833967,31.838624,8.4,6.0832,21.3085
118.863756,32.042954,6.04,1.2779,4.5044
118.762153,32.051762,4.29,1.3246,1.3025
118.769832,32.053235,1.73,1.2968,0.5322
118.86187,31.791328,8.23,2.3288,26.5154
118.8032528,32.10541358,2.38,3.0812,5.3398
118.8235015,31.93106311,6.56,1.5345,12.0336
118.685151,32.179476,4.93,6.6724,15.2795
118.793698,32.043716,1.6,1.2265,0.6314
118.7980983,31.78747833,8.65,4.8204,26.1122
118.809767,32.074508,1.99,0.9921,2.2337
118.814798,32.132917,4.8,0.347,7.8301
118.865143,31.772142,8.92,1.959,28.4566
118.832457,31.834345,8.26,5.6886,21.7056
118.7371742,31.94116103,6.05,7.9595,12.0403
118.739527,32.08321468,1.86,0.7221,4.464
118.928706,32.071746,8.92,3.1146,2.9707
118.850405,31.94698,10.25,1.5475,11.1954
118.844172,31.962782,8.93,10.1956,9.5074
118.815981,32.051045,1.33,0.9365,0.573
118.7162,32.106721,8.49,3.714,7.7614
118.708061,32.009527,8.49,13.3828,8.0933
118.924484,31.716264,8.79,9.9311,35.4214
118.824083,32.104554,2.24,0.809,4.9888
118.764069,32.005554,9.58,14.1128,5.1142
118.888264,32.13294,7.61,2.1474,5.5551
118.760715,31.764144,8.79,8.6621,28.685
118.701,32.1535,2.78,0.5659,12.248
118.848368,31.959485,10.36,2.9251,9.9371
118.571384,31.8551,8.95,3.4625,28.5477
118.752371,32.026891,1.67,0.7825,3.6309
118.708667,32.187176,4.64,5.66,14.7171
118.8005543,32.06143856,1.34,1.0109,1.3152
118.4628733,32.045305,13.9,6.6419,31.1897
118.7318374,31.99209896,4.28,2.1193,7.6557
118.7747075,32.03352295,1.73,1.0638,2.2077
118.7766556,31.72180339,10.69,15.1694,32.7473
118.820594,31.93289,4.42,0.9645,11.7953
118.8133632,32.02158892,1.44,0.8685,3.1224
118.757039,32.008578,11.85,4.2117,5.0194
118.823685,32.122034,4.66,1.2813,6.7309
118.6357945,31.89945817,8.52,5.7843,20.8919
118.8624106,31.9178922,3.76,0.7899,14.3247
118.859825,31.949167,6.39,0.6582,11.2795
118.7530692,32.09156435,1.45,0.6985,4.1917
118.758924,32.056103,2.93,1.9216,1.5684
118.8416497,31.95661077,9.87,2.7413,10.0493
118.808844,32.118323,4.77,1.7536,6.4538
118.7700999,32.11104813,2.38,0.7825,5.563
118.90039,32.144754,4.77,8.3367,6.6157
118.7319636,32.07820344,2.12,1.497,4.8257
118.832073,32.088749,1.99,2.0312,3.5923
118.851358,31.960817,5.04,1.7117,9.8991
118.7925587,32.00043777,1.96,0.6142,4.8436
118.866385,31.78275667,8.36,2.4968,27.4573
118.733126,32.124489,4.36,1.4254,8.041
118.729534,32.131629,6.02,1.0001,8.8382
118.805062,32.120466,3.89,1.6821,6.7401
118.776265,32.045379,1.75,0.3347,1.0356
118.8117308,32.1393373,4.32,0.8362,8.4961
118.7880152,31.98595606,1.92,1.7047,6.3388
118.884795,32.147885,4.66,6.8976,7.0891
118.878815,32.106572,7.28,1.567,3.4969
118.793078,32.043808,1.6,1.167,0.6658
118.831518,32.089472,1.94,2.0038,3.6432
118.734574,32.026198,1.62,1.3215,4.9664
118.7345271,32.00284192,4.34,2.7254,6.6251
118.7852326,31.98627375,1.9,1.9937,6.3561
118.628718,31.798005,9.04,5.7503,29.6035
118.756861,32.092217,1.86,1.4204,4.0688
118.806775,32.045421,1.68,1.9126,0.9616
118.7520449,32.09331442,1.65,2.4282,4.3944
118.813775,32.115055,4.77,1.8781,6.0597
118.840763,31.927556,1.94,7.6383,12.8476
118.794382,32.055812,1.29,1.6922,0.7939
118.7728433,31.94789333,4.38,4.9676,10.3729
118.8015905,32.09924088,2.18,2.5895,4.8209
118.7332875,32.03214382,4.24,0.7012,4.7507
118.647033,31.934441,8.17,9.0837,17.5934
118.718729,31.867144,9.04,11.4219,19.6564
118.802263,31.984528,1.93,1.6141,6.4234
118.8038961,32.1193045,4.66,1.9376,6.6548
118.879448,32.147472,4.37,6.3863,7.1816
118.9143498,32.00556474,7.6,12.0414,7.447
118.89185,32.068421,2.48,5.7758,1.2916
118.686984,32.124361,4.87,2.1232,11.1376
118.631301,32.078495,8.34,11.5297,14.5116
118.69825,31.9699,3.49,3.6781,11.4777
118.877123,32.150789,4.8,6.1379,7.5667
118.874879,31.94069204,5.04,1.7517,12.6498
118.826592,32.086825,2.98,1.1097,3.2627
118.809103,32.033197,1.68,0.7155,1.9165
118.87666,31.992629,8.65,3.1577,8.3922
118.629651,32.057514,1.71,15.2013,14.4962
118.7528277,32.04996244,1.55,2.0675,2.249
118.889114,32.167088,4.32,7.9451,8.9131
118.8041831,32.09607608,2.19,3.0285,4.4302
118.5486006,31.7914472,8.95,8.279,34.7638
118.769783,32.059787,15.5,2.4977,0.6382
118.744707,31.954411,4.71,1.0585,10.5512
118.795295,32.00594,1.91,0.6556,4.2728
118.469607,31.876069,0.41,0.0209,35.391
118.800056,32.029867,1.68,0.8031,1.8881
118.738957,32.084567,2.12,0.5659,4.5929
118.612836,31.819814,8.98,3.3544,28.5942
118.7480128,32.08520114,1.93,1.8179,3.9788
118.7491,32.0403,7.34,2.0082,2.9738
118.728868,32.214663,2.99,3.1476,16.5507
118.770796,31.96908491,1.94,2.3767,8.3943
118.717721,32.035341,1.68,8.9935,6.0379
118.804705,32.092672,2.38,3.3977,4.0948
118.874804,32.119717,7.61,0.3001,4.8119
118.769499,31.998497,9.58,14.9369,5.733
118.824097,32.022926,3.32,3.1503,3.2109
118.7346281,32.02628579,3.73,0.189,4.9569
118.7282465,31.981176,3.43,6.4144,8.7679
118.881838,32.101102,15.08,2.5787,2.8792
118.810314,32.135372,4.77,0.7741,8.1179
118.849251,32.027773,2.18,0.1967,3.9613
118.822925,32.079771,1.94,1.1363,2.5099
118.8473237,32.13918807,4.75,3.0184,8.0154
118.713912,32.165088,8.49,2.7427,12.5182
118.7816699,32.05141636,1.88,3.3172,0.8215
118.8403951,32.04088756,1.18,2.6977,2.4447
118.6119059,32.05369206,8.62,1.1856,16.2705
118.8063963,32.06123879,1.33,0.6985,1.5318
118.760136,32.073436,1.41,0.5842,2.2964
118.73368,32.05509,1.32,0.3614,4.0923
118.829,31.9611,10.24,2.0142,9.293
118.820439,32.132401,4.77,0.2822,7.7591
118.599383,31.85727,8.52,0.9697,26.4643
118.717759,31.909962,9.04,12.6764,15.6337
118.7811153,32.05983194,2.93,0.3318,0.7769
118.796537,32.003878,1.92,0.4461,4.4737
118.8902331,31.88855329,8.63,3.2391,18.0366
118.781583,32.0268,1.45,0.4258,2.7111
118.908221,31.94381,9.87,4.277,13.5053
118.8146,32.116629,4.33,1.6592,6.2081
118.795366,32.022705,1.43,1.2254,2.6
118.7741946,32.04416442,1.59,0.926,1.1443
118.713322,31.993355,3.78,1.1241,8.7347
118.759024,32.071444,8.49,7.6732,2.2218
118.816076,32.08731,1.94,0.5155,3.2773
118.732763,32.032573,2.67,3.1022,4.7755
118.894239,31.90876,6.39,4.9214,16.37
118.741218,32.040766,7.34,1.2307,3.653
118.794776,32.054895,1.43,2.9746,0.6941
118.8023924,32.01166105,1.93,1.2137,3.7236
118.759926,32.072802,1.39,0.5204,2.2611
118.81298,32.068206,2.98,1.8467,1.5265
118.706347,32.044953,3.34,4.8008,6.9078
118.758623,32.09272,2.38,1.7634,4.0412
118.7508988,32.06598006,1.11,1.989,2.5875
118.753667,32.049293,1.54,2.0949,2.1862
118.800896,31.96507038,4.8,5.5515,8.3591
118.8782865,31.94561823,5.05,1.9089,12.3634
118.6467,32.065333,8.49,11.1902,12.827
118.901078,31.925972,3.76,4.7292,15.2067
118.694651,32.177183,3.46,2.2495,14.5514
118.847143,32.025726,2.55,0.4542,3.9578
118.874597,31.986139,7.61,1.1001,8.7544
118.8162983,31.93715167,11.83,5.8151,11.299
118.804404,32.010124,5.78,2.8118,3.9056
118.734857,32.210899,5.78,2.3708,16.0304
118.8364,32.132,4.8,1.827,7.8851
118.887318,32.072287,7.61,4.6434,1.3988
118.7533713,32.09440068,9.58,5.384,4.4228
118.8195833,32.1245,4.8,0.9205,6.9694
118.759695,32.05688667,1.55,1.3088,1.496
118.734575,32.075473,2.05,1.6233,4.4687
118.802097,32.127686,4.32,1.6138,7.5115
118.827203,32.099853,2.1,1.2517,4.5569
118.876565,32.01475667,8.93,4.3774,6.794
118.7649085,32.08970315,1.99,1.0135,3.5453
118.756506,32.068112,1.55,0.2533,2.1999
118.730961,32.033461,7.14,1.0404,4.8934
118.771905,31.977119,4.28,2.4708,7.5993
118.722281,32.146709,4.62,0.705,10.5062
118.810022,32.110053,4.75,2.4577,5.6191
118.917996,32.103001,6.14,1.4267,3.0439
118.7824784,32.04933924,1.29,2.7725,1.0063
118.79227,32.00976,1.85,1.1407,3.9218
118.791876,32.011033,1.89,1.2732,3.8016
118.75922,32.094409,2.18,1.9316,4.1745
118.701877,32.114454,5.01,0.5131,9.3554
118.7554479,32.02075303,1.67,0.7169,3.9763
118.7836961,31.98808556,11.85,5.1457,6.2114
118.807351,31.983876,1.9,1.8515,6.544
